Line,Name,ImageReference
urn:cts:greekLit:tlg0012.tlg001.e4:1.279,Zeus,"urn:cite:hmt:e4img.e4_236@0.665,0.3387,0.023,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.282,Agamemnon,"urn:cite:hmt:e4img.e4_236@0.571,0.3913,0.06,0.0133"
urn:cts:greekLit:tlg0012.tlg001.e4:1.283,Achilles,"urn:cite:hmt:e4img.e4_236@0.59,0.4067,0.049,0.012"
urn:cts:greekLit:tlg0012.tlg001.e4:1.311,Odysseus,"urn:cite:hmt:e4img.e4_543@0.733,0.1613,0.052,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.313,Atreus,"urn:cite:hmt:e4img.e4_543@0.547,0.198,0.03,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.313,Agamemnon,"urn:cite:hmt:e4img.e4_543@0.578,0.1987,0.05,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.315,Apollo,"urn:cite:hmt:e4img.e4_543@0.513,0.2367,0.063,0.0127"
urn:cts:greekLit:tlg0012.tlg001.e4:1.319,Achilles,"urn:cite:hmt:e4img.e4_543@0.756,0.296,0.04,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.320,Talthybius,"urn:cite:hmt:e4img.e4_543@0.582,0.316,0.068,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.320,Eurybates,"urn:cite:hmt:e4img.e4_543@0.662,0.314,0.078,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.322,Achilles,"urn:cite:hmt:e4img.e4_543@0.708,0.3487,0.078,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.345,Patroclus,"urn:cite:hmt:e4img.e4_543@0.568,0.7373,0.057,0.0133"
urn:cts:greekLit:tlg0012.tlg001.e4:1.348,Achilles,"urn:cite:hmt:e4img.e4_235@0.748,0.1893,0.041,0.016"
urn:cts:greekLit:tlg0012.tlg001.e4:1.355,Atreus,"urn:cite:hmt:e4img.e4_235@0.642,0.308,0.054,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.355,Agamemnon,"urn:cite:hmt:e4img.e4_235@0.697,0.3053,0.097,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.364,Achilles,"urn:cite:hmt:e4img.e4_235@0.637,0.432,0.059,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.367,Eetion,"urn:cite:hmt:e4img.e4_235@0.703,0.4613,0.077,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.370,Atreus,"urn:cite:hmt:e4img.e4_235@0.532,0.51,0.037,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.370,Agamemnon,"urn:cite:hmt:e4img.e4_235@0.568,0.51,0.083,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.374,Apollo,"urn:cite:hmt:e4img.e4_235@0.63,0.5727,0.07,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.376,Agamemnon,"urn:cite:hmt:e4img.e4_235@0.674,0.606,0.061,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.376,Menelaus,"urn:cite:hmt:e4img.e4_235@0.743,0.604,0.052,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.376,Atreus,"urn:cite:hmt:e4img.e4_235@0.765,0.6213,0.042,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.378,Atreus,"urn:cite:hmt:e4img.e4_235@0.601,0.6507,0.038,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.378,Agamemnon,"urn:cite:hmt:e4img.e4_235@0.635,0.6507,0.074,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.380,Apollo,"urn:cite:hmt:e4img.e4_235@0.739,0.6833,0.06,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.385,Apollo,"urn:cite:hmt:e4img.e4_235@0.669,0.7653,0.079,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.387,Atreus,"urn:cite:hmt:e4img.e4_542@0.567,0.1147,0.034,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.387,Agamemnon,"urn:cite:hmt:e4img.e4_542@0.601,0.1153,0.062,0.016"
urn:cts:greekLit:tlg0012.tlg001.e4:1.390,Apollo,"urn:cite:hmt:e4img.e4_542@0.768,0.162,0.055,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.397,Kronos,"urn:cite:hmt:e4img.e4_542@0.744,0.2773,0.043,0.02"
urn:cts:greekLit:tlg0012.tlg001.e4:1.397,Zeus,"urn:cite:hmt:e4img.e4_542@0.782,0.2773,0.024,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.400,Athena,"urn:cite:hmt:e4img.e4_542@0.739,0.3247,0.066,0.0207"
urn:cts:greekLit:tlg0012.tlg001.e4:1.405,Kronos,"urn:cite:hmt:e4img.e4_542@0.593,0.4153,0.036,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.405,Zeus,"urn:cite:hmt:e4img.e4_542@0.627,0.4153,0.022,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.411,Atreus,"urn:cite:hmt:e4img.e4_542@0.729,0.512,0.033,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.411,Agamemnon,"urn:cite:hmt:e4img.e4_542@0.763,0.5107,0.052,0.0193"
urn:cts:greekLit:tlg0012.tlg001.e4:1.413,Thetis,"urn:cite:hmt:e4img.e4_542@0.605,0.548,0.027,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.430,Odysseus,"urn:cite:hmt:e4img.e4_234@0.722,0.23,0.061,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.438,Apollo,"urn:cite:hmt:e4img.e4_234@0.692,0.3613,0.083,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.442,Chrysis,"urn:cite:hmt:e4img.e4_234@0.488,0.4293,0.047,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.443,Apollo,"urn:cite:hmt:e4img.e4_234@0.643,0.4433,0.067,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.450,Chrysis,"urn:cite:hmt:e4img.e4_234@0.53,0.5533,0.03,0.0153"
urn:cts:greekLit:tlg0012.tlg001.e4:1.451,Apollo,"urn:cite:hmt:e4img.e4_234@0.748,0.5713,0.044,0.0147"
urn:cts:greekLit:tlg0012.tlg001.e4:1.457,Apollo,"urn:cite:hmt:e4img.e4_234@0.719,0.668,0.076,0.0133"
urn:cts:greekLit:tlg0012.tlg001.e4:1.472,Apollo,"urn:cite:hmt:e4img.e4_540@0.623,0.2307,0.063,0.014"
urn:cts:greekLit:tlg0012.tlg001.e4:1.474,Apollo,"urn:cite:hmt:e4img.e4_540@0.571,0.2613,0.063,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.479,Apollo,"urn:cite:hmt:e4img.e4_540@0.744,0.342,0.064,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.489,Peleus,"urn:cite:hmt:e4img.e4_540@0.565,0.512,0.04,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.489,Achilles,"urn:cite:hmt:e4img.e4_540@0.602,0.5127,0.072,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.498,Kronos,"urn:cite:hmt:e4img.e4_540@0.674,0.6633,0.034,0.0133"
urn:cts:greekLit:tlg0012.tlg001.e4:1.502,Zeus,"urn:cite:hmt:e4img.e4_540@0.681,0.7233,0.036,0.0153"
urn:cts:greekLit:tlg0012.tlg001.e4:1.506,Agamemnon,"urn:cite:hmt:e4img.e4_233@0.719,0.1947,0.061,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.517,Zeus"urn:cite:hmt:e4img.e4_233@0.764,0.3733,0.029,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.528,Zeus,"urn:cite:hmt:e4img.e4_233@0.515,0.5467,0.023,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.528,Kronos,"urn:cite:hmt:e4img.e4_233@0.563,0.5487,0.034,0.0153"
urn:cts:greekLit:tlg0012.tlg001.e4:1.533,Zeus,"urn:cite:hmt:e4img.e4_233@0.506,0.6247,0.025,0.016"
urn:cts:greekLit:tlg0012.tlg001.e4:1.538,Thetis,"urn:cite:hmt:e4img.e4_233@0.547,0.7013,0.027,0.0173"
urn:cts:greekLit:tlg0012.tlg001.e4:1.539,Zeus,"urn:cite:hmt:e4img.e4_233@0.618,0.718,0.034,0.0167"
urn:cts:greekLit:tlg0012.tlg001.e4:1.552,Kronos,"urn:cite:hmt:e4img.e4_539@0.557,0.2673,0.034,0.0227"
urn:cts:greekLit:tlg0012.tlg001.e4:1.558,Achilles,"urn:cite:hmt:e4img.e4_539@0.723,0.374,0.044,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.560,Zeus,"urn:cite:hmt:e4img.e4_539@0.614,0.4087,0.028,0.016"
urn:cts:greekLit:tlg0012.tlg001.e4:1.570,Zeus,"urn:cite:hmt:e4img.e4_539@0.634,0.5793,0.016,0.0133"
urn:cts:greekLit:tlg0012.tlg001.e4:1.571,Hephaestus,"urn:cite:hmt:e4img.e4_539@0.623,0.5927,0.04,0.0187"
urn:cts:greekLit:tlg0012.tlg001.e4:1.580,Zeus,"urn:cite:hmt:e4img.e4_539@0.71,0.7373,0.042,0.018"
urn:cts:greekLit:tlg0012.tlg001.e4:1.595,Hera,"urn:cite:hmt:e4img.e4_232@0.693,0.382,0.06,0.0153"
urn:cts:greekLit:tlg0012.tlg001.e4:1.603,Apollo,"urn:cite:hmt:e4img.e4_232@0.7,0.504,0.068,0.0193"
